2,1.923076923076923,0.207029221,2.5008,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.042427
3,2.5,0.111165011,1.7456,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.01739
4,3.571428571428571,0.101859626,2.285,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.016730000000000002
5,3.846153846153846,0.128682869,3.1088,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.016387
3,5.555555555555555,0.053396677000000003,1.8633,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.010020000000000001
2,2.857142857142857,0.39836731299999995,7.1493,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.059174000000000004
5,4.761904761904762,0.080001337,2.3929,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.043191
2,3.571428571428571,0.087870321,1.9712,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.0088633
2,1.36986301369863,0.22909047899999999,1.9712,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.052408
2,2.941176470588235,0.096613636,1.7849,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.016685
4,3.846153846153846,0.093772059,2.2654,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.010177
2,1.2658227848101264,0.7375923409999999,5.8646,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.10354000000000001
3,1.5873015873015872,0.375743984,3.7463,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.081633
2,2.0408163265306123,0.40547125700000003,5.1977,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.07873200000000001
2,0.8620689655172414,1.148247135,6.2176,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.12325
3,2.6315789473684212,0.362504106,5.9921,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.070671
3,1.0989010989010988,0.966136364,6.6688,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.25716999999999995
4,2.564102564102564,0.18632629899999997,3.0009,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.030376
4,3.2258064516129035,0.08518487400000001,1.726,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.010882
4,2.7027027027027026,0.13922168599999998,2.3635,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.019828
4,3.3333333333333335,0.085247326,1.7849,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.016969
5,3.3333333333333335,0.124123854,2.5989,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.017228
3,0.8928571428571428,0.683727273,3.8345,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.068223
6,7.142857142857142,0.10054812800000001,4.5112,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.051548000000000004
2,0.8474576271186441,1.055661669,5.6194,2210000.0,7.148,57400000000.0,23900000000.0,8070000.0,3140000000.0,165000000.0,0.13679000000000002
2,1.923076923076923,0.207029221,2.5008,1820000.0,7.9738,58200000000.0,24300000000.0,8140000.0,3140000000.0,165000000.0,0.04203
3,2.5,0.111165011,1.7456,1820000.0,7.9738,58200000000.0,24300000000.0,8140000.0,3140000000.0,165000000.0,0.01634
4,3.571428571428571,0.101859626,2.285,1820000.0,7.9738,58200000000.0,24300000000.0,8140000.0,3140000000.0,165000000.0,0.018047999999999998
5,3.846153846153846,0.128682869,3.1088,1820000.0,7.9738,58200000000.0,24300000000.0,8140000.0,3140000000.0,165000000.0,0.018007
3,5.555555555555555,0.053396677000000003,1.8633,1820000.0,7.9738,58200000000.0,24300000000.0,8140000.0,3140000000.0,165000000.0,0.010685
2,2.857142857142857,0.39836731299999995,7.1493,1820000.0,7.9738,58200000000.0,24300000000.0,8140000.0,3140000000.0,165000000.0,0.05975
5,4.761904761904762,0.080001337,2.3929,1820000.0,7.9738,58200000000.0,24300000000.0,8140000.0,3140000000.0,165000000.0,0.049342000000000004
2,3.571428571428571,0.087870321,1.9712,1820000.0,7.9738,58200000000.0,24300000000.0,8140000.0,3140000000.0,165000000.0,0.009228499999999999
2,1.36986301369863,0.22909047899999999,1.9712,1820000.0,7.9738,58200000000.0,24300000000.0,8140000.0,3140000000.0,165000000.0,0.057041999999999995
2,2.941176470588235,0.096613636,1.7849,1820000.0,7.9738,58200000000.0,24300000000.0,8140000.0,3140000000.0,165000000.0,0.016241
4,3.846153846153846,0.093772059,2.2654,1820000.0,7.9738,58200000000.0,24300000000.0,8140000.0,3140000000.0,165000000.0,0.011931
2,1.2658227848101264,0.7375923409999999,5.8646,1820000.0,7.9738,58200000000.0,24300000000.0,8140000.0,3140000000.0,165000000.0,0.12
3,1.5873015873015872,0.375743984,3.7463,1820000.0,7.9738,58200000000.0,24300000000.0,8140000.0,3140000000.0,165000000.0,0.091744
